text,topic,stems
Big news coming out of Pennsylvania. Very big illegal ballot drop that cannot be accounted for. Rigged Election!,Topic #1,"['big', 'news', 'come', 'pennsylvania', 'big', 'illeg', 'ballot', 'drop', 'can', 'not', 'account', 'rig', 'elect']"
“The President was responsible for those direct payments to Americans in the Covid-19 Relief Bill.” @kilmeade @foxandfriends And the Moderna vaccine has already started rolling out. Very smooth distribution!,Topic #2,"['presid', 'respons', 'direct', 'payment', 'american', 'covid19', 'relief', 'bill', 'kilmead', 'foxandfriend', 'moderna', 'vaccin', 'alreadi', 'start', 'roll', 'smooth', 'distribut']"
https://t.co/8S0ePCOCOG,Topic #2,['httpstco8s0epcocog']
Wow! https://t.co/gAttnzPa5d,Topic #1,"['wow', 'httpstcogattnzpa5d']"
Cute! https://t.co/bMkuaxd7lL,Topic #1,"['cute', 'httpstcobmkuaxd7l']"
David is a great guy and patriot. Thank you Lauren! https://t.co/p69H8F52r5,Topic #2,"['david', 'great', 'guy', 'patriot', 'thank', 'lauren', 'httpstcop69h8f52r5']"
GREATEST ELECTION FRAUD IN THE HISTORY OF OUR COUNTRY!!!,Topic #1,"['greatest', 'elect', 'fraud', 'histori', 'countri']"
"Why isn’t Congress giving our people a Stimulus Bill? It wasn’t their fault, it was the fault of China. GET IT DONE, and give them more money in direct payments.",Topic #2,"['isnt', 'congress', 'give', 'peopl', 'stimulu', 'bill', 'wasnt', 'fault', 'fault', 'china', 'get', 'done', 'give', 'money', 'direct', 'payment']"
Martial law = Fake News. Just more knowingly bad reporting!,Topic #1,"['martial', 'law', 'fake', 'news', 'knowingli', 'bad', 'report']"
"What would Bolton, one of the dumbest people in Washington, know? Wasn’t he the person who so stupidly said, on television, “Libyan solution”, when describing what the U.S. was going to do for North Korea? I’ve got plenty of other Bolton “stupid stories”.",Topic #2,"['would', 'bolton', 'one', 'dumbest', 'peopl', 'washington', 'know', 'wasnt', 'person', 'stupidli', 'said', 'televis', 'libyan', 'solut', 'describ', 'us', 'go', 'north', 'korea', 'ive', 'got', 'plenti', 'bolton', 'stupid', 'stori']"
"As badly as we were treated in Georgia by the “Republican” Governor and “Republican” Secretary of State, we must have a massive victory for two great people, @KLoeffler &amp; @sendavidperdue, on January 5th. I will be having a big Rally for them on Monday night, January 4th. WIN!",Topic #1,"['badli', 'treat', 'georgia', 'republican', 'governor', 'republican', 'secretari', 'state', 'must', 'massiv', 'victori', 'two', 'great', 'peopl', 'kloeffler', 'amp', 'sendavidperdu', 'januari', '5th', 'big', 'ralli', 'monday', 'night', 'januari', '4th', 'win']"
https://t.co/nosN75WVxt,Topic #2,['httpstconosn75wvxt']
https://t.co/mVOIboynpb,Topic #1,['httpstcomvoiboynpb']
Watch @RealPNavarro NOW on the Election Fraud. @JesseBWatters  @FoxNews,Topic #1,"['watch', 'realpnavarro', 'elect', 'fraud', 'jessebwatt', 'foxnew']"
https://t.co/Xr1fgfxPr2,Topic #2,['httpstcoxr1fgfxpr2']
https://t.co/tVpKRrC8VP,Topic #2,['httpstcotvpkrrc8vp']
https://t.co/UtbrPnJKz1,Topic #2,['httpstcoutbrpnjkz1']
The lie of the year is that Joe Biden won! Christina Bobb @OANN,Topic #1,"['lie', 'year', 'joe', 'biden', 'christina', 'bobb', 'oann']"
https://t.co/xcN3Dur87Q,Topic #1,['httpstcoxcn3dur87q']
We don’t want to have lockdowns. The cure cannot be worse than the problem itself! https://t.co/sHBJfG9T8X,Topic #1,"['dont', 'want', 'lockdown', 'cure', 'can', 'not', 'wors', 'problem', 'httpstcoshbjfg9t8x']"
"The entire WORLD is being badly hurt by the China Virus, but if you listen to the Fake News Lamestream Media, and Big Tech, you would think that we are the only one. No, but we are the Country that developed vaccines, and years ahead of schedule! https://t.co/z1UoJ8lbTm",Topic #2,"['entir', 'world', 'badli', 'hurt', 'china', 'viru', 'listen', 'fake', 'news', 'lamestream', 'media', 'big', 'tech', 'would', 'think', 'one', 'countri', 'develop', 'vaccin', 'year', 'ahead', 'schedul', 'httpstcoz1uoj8lbtm']"
Very happy to have helped get @WreathsAcross America so beautifully open and operating today. Congratulations to all of those who have worked so hard for this great success!,Topic #2,"['happi', 'help', 'get', 'wreathsacross', 'america', 'beauti', 'open', 'oper', 'today', 'congratul', 'work', 'hard', 'great', 'success']"
https://t.co/6YpmZqdP4k,Topic #1,['httpstco6ypmzqdp4k']
https://t.co/ftlALc6UWn,Topic #2,['httpstcoftlalc6uwn']
"....discussing the possibility that it may be China (it may!). There could also have been a hit on our ridiculous voting machines during the election, which is now obvious that I won big, making it an even more corrupted embarrassment for the USA. @DNI_Ratcliffe @SecPompeo",Topic #1,"['discuss', 'possibl', 'may', 'china', 'may', 'could', 'also', 'hit', 'ridicul', 'vote', 'machin', 'elect', 'obviou', 'big', 'make', 'even', 'corrupt', 'embarrass', 'usa', 'dniratcliff', 'secpompeo']"
"The Cyber Hack is far greater in the Fake News Media than in actuality. I have been fully briefed and everything is well under control. Russia, Russia, Russia is the priority chant when anything happens because Lamestream is, for mostly financial reasons, petrified of....",Topic #2,"['cyber', 'hack', 'far', 'greater', 'fake', 'news', 'media', 'actual', 'fulli', 'brief', 'everyth', 'well', 'control', 'russia', 'russia', 'russia', 'prioriti', 'chant', 'anyth', 'happen', 'lamestream', 'mostli', 'financi', 'reason', 'petrifi']"
"He didn’t win the Election. He lost all 6 Swing States, by a lot. They then dumped hundreds of thousands of votes in each one, and got caught. Now Republican politicians have to fight so that their great victory is not stolen. Don’t be weak fools! https://t.co/d9Bgu8XPIj",Topic #1,"['didnt', 'win', 'elect', 'lost', '6', 'swing', 'state', 'lot', 'dump', 'hundr', 'thousand', 'vote', 'one', 'got', 'caught', 'republican', 'politician', 'fight', 'great', 'victori', 'stolen', 'dont', 'weak', 'fool', 'httpstcod9bgu8xpij']"
One of the Trump Administration’s great achievements into the future will be the authorization and start up of the SPACE FORCE. 75 years since Air Force. Congratulations to all! https://t.co/iG011Jt50r,Topic #2,"['one', 'trump', 'administr', 'great', 'achiev', 'futur', 'author', 'start', 'space', 'forc', '75', 'year', 'sinc', 'air', 'forc', 'congratul', 'httpstcoig011jt50r']"
"Peter Navarro releases 36-page report alleging election fraud 'more than sufficient' to swing victory to Trump https://t.co/D8KrMHnFdK. A great report by Peter. Statistically impossible to have lost the 2020 Election. Big protest in D.C. on January 6th. Be there, will be wild!",Topic #1,"['peter', 'navarro', 'releas', '36page', 'report', 'alleg', 'elect', 'fraud', ""'more"", 'sufficient', ""'"", 'swing', 'victori', 'trump', 'httpstcod8krmhnfdk', 'great', 'report', 'peter', 'statist', 'imposs', 'lost', '2020', 'elect', 'big', 'protest', 'dc', 'januari', '6th', 'wild']"
"Congratulations, the Moderna vaccine is now available!",Topic #2,"['congratul', 'moderna', 'vaccin', 'avail']"
https://t.co/oMa4GS9q6K,Topic #1,['httpstcooma4gs9q6k']
THANK YOU to the GREAT men and women of @FedEx and @UPS for driving through the storms this week to deliver millions of doses of the vaccine across the country. Two Great American Companies!,Topic #2,"['thank', 'great', 'men', 'women', 'fedex', 'up', 'drive', 'storm', 'week', 'deliv', 'million', 'dose', 'vaccin', 'across', 'countri', 'two', 'great', 'american', 'compani']"
"The Secretary of State and Governor of Georgia, both so-called “Republicans”, aren’t allowing Fulton County to go through the vital Voter Signature Verification process. Also, they are not allowing Republican “watchers” to be present and verify! @BrianKempGA",Topic #1,"['secretari', 'state', 'governor', 'georgia', 'socal', 'republican', 'arent', 'allow', 'fulton', 'counti', 'go', 'vital', 'voter', 'signatur', 'verif', 'process', 'also', 'allow', 'republican', 'watcher', 'present', 'verifi', 'briankempga']"
"Governor @BrianKempGA of Georgia still has not called a Special Session. So easy to do, why is he not doing it? It will give us the State. MUST ACT NOW!",Topic #1,"['governor', 'briankempga', 'georgia', 'still', 'call', 'special', 'session', 'easi', 'give', 'us', 'state', 'must', 'act']"
"Oh, they do this to me every day. When will they apologize? https://t.co/oqcroLYx5B",Topic #5,"['oh', 'everi', 'day', 'apolog', 'httpstcooqcrolyx5b']"
".@senatemajldr and Republican Senators have to get tougher, or you won’t have a Republican Party anymore. We won the Presidential Election, by a lot. FIGHT FOR IT. Don’t let them take it away!",Topic #1,"['senatemajldr', 'republican', 'senat', 'get', 'tougher', 'wont', 'republican', 'parti', 'anymor', 'presidenti', 'elect', 'lot', 'fight', 'dont', 'let', 'take', 'away']"
"Well, at least she was happy when I pardoned Scooter Libby. We got a GREAT new Senator from her state, not Liz! https://t.co/tT4gdn8f9V",Topic #1,"['well', 'least', 'happi', 'pardon', 'scooter', 'libbi', 'got', 'great', 'new', 'senat', 'state', 'liz', 'httpstcott4gdn8f9v']"
The Russia Hoax becomes an even bigger lie! https://t.co/nbtfIGg2Ew,Topic #2,"['russia', 'hoax', 'becom', 'even', 'bigger', 'lie', 'httpstconbtfigg2ew']"
"Europe and other parts of the World being hit hard by the China Virus - Germany, France, Spain and Italy, in particular. The vaccines are on their way!!!",Topic #2,"['europ', 'part', 'world', 'hit', 'hard', 'china', 'viru', 'germani', 'franc', 'spain', 'itali', 'particular', 'vaccin', 'way']"
Moderna vaccine overwhelmingly approved. Distribution to start immediately.,Topic #2,"['moderna', 'vaccin', 'overwhelmingli', 'approv', 'distribut', 'start', 'immedi']"
"I am very disappointed in the United States Supreme Court, and so is our great country!",Topic #1,"['disappoint', 'unit', 'state', 'suprem', 'court', 'great', 'countri']"
"New Peter Strzok Texts Undermine Official Narrative on Start of ‘Russia Collusion‘ Investigation https://t.co/kwmNTZbsYD via @BreitbartNews. Check out last in his class John McCain, one of the most overrated people in D.C.",Topic #2,"['new', 'peter', 'strzok', 'text', 'undermin', 'offici', 'narr', 'start', 'russia', 'collus', 'investig', 'httpstcokwmntzbsyd', 'via', 'breitbartnew', 'check', 'last', 'class', 'john', 'mccain', 'one', 'overr', 'peopl', 'dc']"
We won Wisconsin big. They rigged the vote! https://t.co/TRBRmBiMtv,Topic #1,"['wisconsin', 'big', 'rig', 'vote', 'httpstcotrbrmbimtv']"
Thank you! https://t.co/Du7bro3qis,Topic #2,"['thank', 'httpstcodu7bro3qi']"
Tommy will be more popular than ever before - a hero! https://t.co/dTAXJyENlr,Topic #3,"['tommi', 'popular', 'ever', 'hero', 'httpstcodtaxjyenlr']"
"That’s because he is a great champion and man of courage. More Republican Senators should follow his lead. We had a landslide victory, and then it was swindled away from the Republican Party - but we caught them. Do something! https://t.co/nZU0czsZgB",Topic #1,"['that', 'great', 'champion', 'man', 'courag', 'republican', 'senat', 'follow', 'lead', 'landslid', 'victori', 'swindl', 'away', 'republican', 'parti', 'caught', 'someth', 'httpstconzu0czszgb']"
Democrats would never put up with a Presidential Election stolen by the Republicans!,Topic #1,"['democrat', 'would', 'never', 'put', 'presidenti', 'elect', 'stolen', 'republican']"
Just released data shows many thousands of noncitizens voted in Nevada. They are totally ineligible to vote!,Topic #1,"['releas', 'data', 'show', 'mani', 'thousand', 'noncitizen', 'vote', 'nevada', 'total', 'inelig', 'vote']"
"I will Veto the Defense Bill, which will make China very unhappy. They love it. Must have Section 230 termination, protect our National Monuments and allow for removal of military from far away, and very unappreciative, lands. Thank you! https://t.co/9rI08S5ofO",Topic #3,"['veto', 'defens', 'bill', 'make', 'china', 'unhappi', 'love', 'must', 'section', '230', 'termin', 'protect', 'nation', 'monument', 'allow', 'remov', 'militari', 'far', 'away', 'unappreci', 'land', 'thank', 'httpstco9ri08s5ofo']"
Crazy! https://t.co/rO3EkzQVN8,Topic #2,"['crazi', 'httpstcoro3ekzqvn8']"
"I have NOTHING to do with the potential prosecution of Hunter Biden, or the Biden family. It is just more Fake News. Actually, I find it very sad to watch!",Topic #1,"['noth', 'potenti', 'prosecut', 'hunter', 'biden', 'biden', 'famili', 'fake', 'news', 'actual', 'find', 'sad', 'watch']"
"All-time Stock Market high. The Vaccine and the Vaccine rollout are getting the best of reviews. Moving along really well. Get those “shots” everyone! Also, stimulus talks looking very good.",Topic #2,"['alltim', 'stock', 'market', 'high', 'vaccin', 'vaccin', 'rollout', 'get', 'best', 'review', 'move', 'along', 'realli', 'well', 'get', 'shot', 'everyon', 'also', 'stimulu', 'talk', 'look', 'good']"
“Michigan fraud witness totally debunks Dominion CEO.” @OANN  It was brutal!,Topic #1,"['michigan', 'fraud', 'wit', 'total', 'debunk', 'dominion', 'ceo', 'oann', 'brutal']"
TRUE! https://t.co/YapMxkF4SE,Topic #1,"['true', 'httpstcoyapmxkf4s']"
https://t.co/GgwnkrGz9U,Topic #1,['httpstcoggwnkrgz9u']
"Chris Krebs was totally excoriated and proven wrong at the Senate Hearing on the Fraudulent 2020 Election. Massive FRAUD took place with machines, people voting from out of state, illegals, dead people, no signatures—and so much more!",Topic #1,"['chri', 'kreb', 'total', 'excori', 'proven', 'wrong', 'senat', 'hear', 'fraudul', '2020', 'elect', 'massiv', 'fraud', 'took', 'place', 'machin', 'peopl', 'vote', 'state', 'illeg', 'dead', 'peopl', 'signaturesand', 'much']"
Former United States Solicitor General Ken Starr: Pennsylvania “Flagrantly Violated” Laws Ahead of Election.,Topic #1,"['former', 'unit', 'state', 'solicitor', 'gener', 'ken', 'starr', 'pennsylvania', 'flagrantli', 'violat', 'law', 'ahead', 'elect']"
"Senate Hearings going on LIVE @OANN, as to the Fraudulent 2020 Election that just took place. @SenRonJohnson doing an excellent job. Nevada must be flipped based on testimony!",Topic #1,"['senat', 'hear', 'go', 'live', 'oann', 'fraudul', '2020', 'elect', 'took', 'place', 'senronjohnson', 'excel', 'job', 'nevada', 'must', 'flip', 'base', 'testimoni']"
"Perhaps the biggest difference between 2016 and 2020 is @FoxNews, despite the fact that I went from 63,000,000 Votes to 75,000,000 Votes, a record 12,000,000 Vote increase. Obama went down 3,000,000 Votes, and won. Rigged Election!!!",Topic #1,"['perhap', 'biggest', 'differ', '2016', '2020', 'foxnew', 'despit', 'fact', 'went', '63000000', 'vote', '75000000', 'vote', 'record', '12000000', 'vote', 'increas', 'obama', 'went', '3000000', 'vote', 'rig', 'elect']"
"Can’t believe how badly @FoxNews is doing in the ratings. They played right into the hands of the Radical Left Democrats, &amp; now are floating in limboland. Hiring fired @donnabraziIe, and far worse, allowing endless negative and unedited commercials. @FoxNews is dead. Really Sad!",Topic #1,"['cant', 'believ', 'badli', 'foxnew', 'rate', 'play', 'right', 'hand', 'radic', 'left', 'democrat', 'amp', 'float', 'limboland', 'hire', 'fire', 'donnabrazii', 'far', 'wors', 'allow', 'endless', 'neg', 'unedit', 'commerci', 'foxnew', 'dead', 'realli', 'sad']"
So ridiculous and unfair. Will people never make a stand! https://t.co/rO3EkzzkVA,Topic #1,"['ridicul', 'unfair', 'peopl', 'never', 'make', 'stand', 'httpstcoro3ekzzkva']"
"“Study: Dominion Machines shifted 2-3% of Trump Votes to Biden. Far more votes than needed to sway election.” Florida, Ohio, Texas and many other states were won by even greater margins than projected. Did just as well with Swing States, but bad things happened. @OANN",Topic #1,"['studi', 'dominion', 'machin', 'shift', '23', 'trump', 'vote', 'biden', 'far', 'vote', 'need', 'sway', 'elect', 'florida', 'ohio', 'texa', 'mani', 'state', 'even', 'greater', 'margin', 'project', 'well', 'swing', 'state', 'bad', 'thing', 'happen', 'oann']"
"Trump's allies slam Mitch McConnell for congratulating Biden https://t.co/ak9nu6420L via @MailOnline. Mitch, 75,000,000 VOTES, a record for a sitting President (by a lot). Too soon to give up. Republican Party must finally learn to fight. People are angry!",Topic #1,"['trump', ""'"", 'alli', 'slam', 'mitch', 'mcconnel', 'congratul', 'biden', 'httpstcoak9nu6420l', 'via', 'mailonlin', 'mitch', '75000000', 'vote', 'record', 'sit', 'presid', 'lot', 'soon', 'give', 'republican', 'parti', 'must', 'final', 'learn', 'fight', 'peopl', 'angri']"
Poll: 92% of Republican Voters think the election was rigged!,Topic #1,"['poll', '92', 'republican', 'voter', 'think', 'elect', 'rig']"
Franklin Graham: ‘I Am Grateful to God’ for ‘the Last Four Years’ https://t.co/wbSLJ4snxX via @BreitbartNews Thank you Franklin!,Topic #2,"['franklin', 'graham', 'grate', 'god', 'last', 'four', 'year', 'httpstcowbslj4snxx', 'via', 'breitbartnew', 'thank', 'franklin']"
Because of corruption or because I won despite corruption? https://t.co/6yoazp4WOm,Topic #1,"['corrupt', 'despit', 'corrupt', 'httpstco6yoazp4wom']"
Mo Brooks: ‘Trump Won the Electoral College‘ --- I Can Be a Part of the ‘Surrender Caucus‘ or I Can Fight for Our Country https://t.co/8BcvdpY3Qf via @BreitbartNews,Topic #1,"['mo', 'brook', 'trump', 'elector', 'colleg', 'part', 'surrend', 'caucu', 'fight', 'countri', 'httpstco8bcvdpy3qf', 'via', 'breitbartnew']"
Tremendous evidence pouring in on voter fraud. There has never been anything like this in our Country!,Topic #1,"['tremend', 'evid', 'pour', 'voter', 'fraud', 'never', 'anyth', 'like', 'countri']"
"68% error rate in Michigan Voting Machines. Should be, by law, a tiny percentage of one percent. Did Michigan Secretary of State break the law? Stay tuned!",Topic #1,"['68', 'error', 'rate', 'michigan', 'vote', 'machin', 'law', 'tini', 'percentag', 'one', 'percent', 'michigan', 'secretari', 'state', 'break', 'law', 'stay', 'tune']"
"Tremendous problems being found with voting machines. They are so far off it is ridiculous. Able to take a landslide victory and reduce it to a tight loss. This is not what the USA is all about. Law enforcement shielding machines. DO NOT TAMPER, a crime. Much more to come!",Topic #1,"['tremend', 'problem', 'found', 'vote', 'machin', 'far', 'ridicul', 'abl', 'take', 'landslid', 'victori', 'reduc', 'tight', 'loss', 'usa', 'law', 'enforc', 'shield', 'machin', 'tamper', 'crime', 'much', 'come']"
"Thank you Kevin. Many Trump votes were routed to Biden. The highly respected Michigan Judge released this epic report. True all over the Country. This Fake Election can no longer stand. Get moving Republicans. Big Swing State Win!  75,000,000 VOTES. https://t.co/0sodJFr80k",Topic #1,"['thank', 'kevin', 'mani', 'trump', 'vote', 'rout', 'biden', 'highli', 'respect', 'michigan', 'judg', 'releas', 'epic', 'report', 'true', 'countri', 'fake', 'elect', 'longer', 'stand', 'get', 'move', 'republican', 'big', 'swing', 'state', 'win', '75000000', 'vote', 'httpstco0sodjfr80k']"
"This is BIG NEWS. Dominion Voting Machines are a disaster all over the Country. Changed the results of a landslide election. Can’t let this happen. Thank you for the genius, bravery, and patriotism of the Judge. Should get a medal! https://t.co/4WwiA83Prg",Topic #1,"['big', 'news', 'dominion', 'vote', 'machin', 'disast', 'countri', 'chang', 'result', 'landslid', 'elect', 'cant', 'let', 'happen', 'thank', 'geniu', 'braveri', 'patriot', 'judg', 'get', 'medal', 'httpstco4wwia83prg']"
"...Deputy Attorney General Jeff Rosen, an outstanding person, will become Acting Attorney General. Highly respected Richard Donoghue will be taking over the duties of Deputy Attorney General. Thank you to all! https://t.co/V5sqOJT9PM",Topic #2,"['deputi', 'attorney', 'gener', 'jeff', 'rosen', 'outstand', 'person', 'becom', 'act', 'attorney', 'gener', 'highli', 'respect', 'richard', 'donoghu', 'take', 'duti', 'deputi', 'attorney', 'gener', 'thank', 'httpstcov5sqojt9pm']"
"Just had a very nice meeting with Attorney General Bill Barr at the White House. Our relationship has been a very good one, he has done an outstanding job! As per letter, Bill will be leaving just before Christmas to spend the holidays with his family...",Topic #2,"['nice', 'meet', 'attorney', 'gener', 'bill', 'barr', 'white', 'hous', 'relationship', 'good', 'one', 'done', 'outstand', 'job', 'per', 'letter', 'bill', 'leav', 'christma', 'spend', 'holiday', 'famili']"
WOW. This report shows massive fraud. Election changing result! https://t.co/dFT3sRpUY5,Topic #1,"['wow', 'report', 'show', 'massiv', 'fraud', 'elect', 'chang', 'result', 'httpstcodft3srpuy5']"
First Vaccine Administered. Congratulations USA! Congratulations WORLD!,Topic #2,"['first', 'vaccin', 'administ', 'congratul', 'usa', 'congratul', 'world']"
"“Why did the Swing States stop counting in the middle of the night?” @MariaBartiromo Because they waited to find out how many ballots they had to produce in order to steal the Rigged Election. They were so far behind that they needed time, &amp; a fake “water main break”, to recover!",Topic #1,"['swing', 'state', 'stop', 'count', 'middl', 'night', 'mariabartiromo', 'wait', 'find', 'mani', 'ballot', 'produc', 'order', 'steal', 'rig', 'elect', 'far', 'behind', 'need', 'time', 'amp', 'fake', 'water', 'main', 'break', 'recov']"
A great honor! https://t.co/n6IyFtcXIQ,Topic #2,"['great', 'honor', 'httpstcon6iyftcxiq']"
"What a fool Governor @BrianKempGA of Georgia is. Could have been so easy, but now we have to do it the hard way. Demand this clown call a Special Session and open up signature verification, NOW. Otherwise, could be a bad day for two GREAT Senators on January 5th.",Topic #1,"['fool', 'governor', 'briankempga', 'georgia', 'could', 'easi', 'hard', 'way', 'demand', 'clown', 'call', 'special', 'session', 'open', 'signatur', 'verif', 'otherwis', 'could', 'bad', 'day', 'two', 'great', 'senat', 'januari', '5th']"
"Democrats weakened the Signature Verification (and other) safeguards in Georgia. @staceyabrams played @BrianKempGA &amp; Secretary of State, for fools. Consent Decree, which is terrible for Republicans (and honest people!), must be opened up NOW - David, Kelly, and I will then win!",Topic #1,"['democrat', 'weaken', 'signatur', 'verif', 'safeguard', 'georgia', 'staceyabram', 'play', 'briankempga', 'amp', 'secretari', 'state', 'fool', 'consent', 'decre', 'terribl', 'republican', 'honest', 'peopl', 'must', 'open', 'david', 'kelli', 'win']"
"Oh no! What is going on? This is not good news, even for “Indians”. Cancel culture at work! https://t.co/d1l0C9g6Pd",Topic #2,"['oh', 'go', 'good', 'news', 'even', 'indian', 'cancel', 'cultur', 'work', 'httpstcod1l0c9g6pd']"
"People working in the White House should receive the vaccine somewhat later in the program, unless specifically necessary. I have asked that this adjustment be made. I am not scheduled to take the vaccine, but look forward to doing so at the appropriate time. Thank you!",Topic #2,"['peopl', 'work', 'white', 'hous', 'receiv', 'vaccin', 'somewhat', 'later', 'program', 'unless', 'specif', 'necessari', 'ask', 'adjust', 'made', 'schedul', 'take', 'vaccin', 'look', 'forward', 'appropri', 'time', 'thank']"
https://t.co/dZ56TExPWf,Topic #1,['httpstcodz56texpwf']
"Vaccines are shipped and on their way, FIVE YEARS AHEAD OF SCHEDULE. Get well USA. Get well WORLD. We love you all!",Topic #2,"['vaccin', 'ship', 'way', 'five', 'year', 'ahead', 'schedul', 'get', 'well', 'usa', 'get', 'well', 'world', 'love']"
"....place in Detroit, Philadelphia, Milwaukee, Atlanta, Pittsburgh, and elsewhere. In all Swing State cases, there are far more votes than are necessary to win the State, and the Election itself. Therefore, VOTES CANNOT BE CERTIFIED. THIS ELECTION IS UNDER PROTEST!",Topic #1,"['place', 'detroit', 'philadelphia', 'milwauke', 'atlanta', 'pittsburgh', 'elsewher', 'swing', 'state', 'case', 'far', 'vote', 'necessari', 'win', 'state', 'elect', 'therefor', 'vote', 'can', 'not', 'certifi', 'elect', 'protest']"
".....and many others voted illegally. Also, machine “glitches” (another word for FRAUD), ballot harvesting, non-resident voters, fake ballots, “stuffing the ballot box”, votes for pay, roughed up Republican Poll Watchers, and sometimes even more votes than people voting, took....",Topic #1,"['mani', 'other', 'vote', 'illeg', 'also', 'machin', 'glitch', 'anoth', 'word', 'fraud', 'ballot', 'harvest', 'nonresid', 'voter', 'fake', 'ballot', 'stuf', 'ballot', 'box', 'vote', 'pay', 'rough', 'republican', 'poll', 'watcher', 'sometim', 'even', 'vote', 'peopl', 'vote', 'took']"
"Swing States that have found massive VOTER FRAUD, which is all of them, CANNOT LEGALLY CERTIFY these votes as complete &amp; correct without committing a severely punishable crime. Everybody knows that dead people, below age people, illegal immigrants, fake signatures, prisoners,....",Topic #1,"['swing', 'state', 'found', 'massiv', 'voter', 'fraud', 'can', 'not', 'legal', 'certifi', 'vote', 'complet', 'amp', 'correct', 'without', 'commit', 'sever', 'punish', 'crime', 'everybodi', 'know', 'dead', 'peopl', 'age', 'peopl', 'illeg', 'immigr', 'fake', 'signatur', 'prison']"
...They just “chickened out” and didn’t want to rule on the merits of the case. So bad for our Country!,Topic #1,"['chicken', 'didnt', 'want', 'rule', 'merit', 'case', 'bad', 'countri']"
"The fact that the Supreme Court wouldn’t find standing in an original jurisdiction matter between multiple states, and including the President of the States, is absurd. It is enumerated in the Constitution...",Topic #1,"['fact', 'suprem', 'court', 'wouldnt', 'find', 'stand', 'origin', 'jurisdict', 'matter', 'multipl', 'state', 'includ', 'presid', 'state', 'absurd', 'enumer', 'constitut']"
"...Tens of millions of haphazardly ballots sent, with some people getting two, three, or four ballots. We will never give up!",Topic #1,"['ten', 'million', 'haphazardli', 'ballot', 'sent', 'peopl', 'get', 'two', 'three', 'four', 'ballot', 'never', 'give']"
"The RINOS that run the state voting apparatus have caused us this problem of allowing the Democrats to so blatantly cheat in their attempt to steal the election, which we won overwhelmingly. How dare they allow this massive and ridiculous Mail-In Voting to occur...",Topic #1,"['rino', 'run', 'state', 'vote', 'apparatu', 'caus', 'us', 'problem', 'allow', 'democrat', 'blatantli', 'cheat', 'attempt', 'steal', 'elect', 'overwhelmingli', 'dare', 'allow', 'massiv', 'ridicul', 'mailin', 'vote', 'occur']"
THE BIGGEST WINNER OF OUR NEW DEFENSE BILL IS CHINA!. I WILL VETO!,Topic #2,"['biggest', 'winner', 'new', 'defens', 'bill', 'china', 'veto']"
MOST CORRUPT ELECTION IN U.S. HISTORY!,Topic #1,"['corrupt', 'elect', 'us', 'histori']"
How do states and politicians confirm an election where corruption and irregularities are documented throughout? A Swing State hustle!,Topic #1,"['state', 'politician', 'confirm', 'elect', 'corrupt', 'irregular', 'document', 'throughout', 'swing', 'state', 'hustl']"
"The drug companies are going crazy putting up nasty ads against me asking to “withdraw my Favored Nation’s Executive Order”. They don’t want the U.S. to have the lowest drug prices in the world, but we now will. Big reductions coming. No other politician would do this!!!",Topic #2,"['drug', 'compani', 'go', 'crazi', 'put', 'nasti', 'ad', 'ask', 'withdraw', 'favor', 'nation', 'execut', 'order', 'dont', 'want', 'us', 'lowest', 'drug', 'price', 'world', 'big', 'reduct', 'come', 'politician', 'would']"
"If failing Governor @BrianKempGA would allow signature verification, David &amp; Kelly would WIN!",Topic #1,"['fail', 'governor', 'briankempga', 'would', 'allow', 'signatur', 'verif', 'david', 'amp', 'kelli', 'would', 'win']"
https://t.co/4lH5PZRI9C,Topic #1,['httpstco4lh5pzri9c']
"The Supreme Court had ZERO interest in the merits of the greatest voter fraud ever perpetrated on the United States of America. All they were interested in is “standing”, which makes it very difficult for the President to present a case on the merits. 75,000,000 votes!",Topic #1,"['suprem', 'court', 'zero', 'interest', 'merit', 'greatest', 'voter', 'fraud', 'ever', 'perpetr', 'unit', 'state', 'america', 'interest', 'stand', 'make', 'difficult', 'presid', 'present', 'case', 'merit', '75000000', 'vote']"
"Wow! Thousands of people forming in Washington (D.C.) for Stop the Steal. Didn’t know about this, but I’ll be seeing them! #MAGA",Topic #1,"['wow', 'thousand', 'peopl', 'form', 'washington', 'dc', 'stop', 'steal', 'didnt', 'know', 'ill', 'see', 'maga']"
"Why didn’t Bill Barr reveal the truth to the public, before the Election, about Hunter Biden. Joe was lying on the debate stage that nothing was wrong, or going on - Press confirmed. Big disadvantage for Republicans at the polls!",Topic #1,"['didnt', 'bill', 'barr', 'reveal', 'truth', 'public', 'elect', 'hunter', 'biden', 'joe', 'lie', 'debat', 'stage', 'noth', 'wrong', 'go', 'press', 'confirm', 'big', 'disadvantag', 'republican', 'poll']"
WE HAVE JUST BEGUN TO FIGHT!!!,Topic #1,"['begun', 'fight']"
